,LATITUDE,LONGITUDE,SIO2,NA2O,K2O,CAO,FEO,MGO,MATERIAL,SAMPLE ID
1009,51.8839,-177.033,58.98,3.95,2.27,6.57,3.35,2.66,WR,PETDB-2560-KG 34
1010,51.8839,-177.033,57.1,3.63,1.85,7.59,3.56,3.15,WR,PETDB-2560-KG 35
1011,51.8839,-177.033,57.4,3.77,2.08,7.13,3.48,3.18,WR,PETDB-2560-KG 36
3417,51.8839,-177.033,58.69,3.89,2.31,6.67,3.07,2.85,WR,PETDB-2560-KG 13
3418,51.8839,-177.033,57.37,3.55,1.98,7.42,3.39,3.08,WR,PETDB-2560-KG 16
3419,51.8839,-177.033,58.16,3.41,2.23,6.77,2.85,2.81,WR,PETDB-2560-KG 17
3420,51.8839,-177.033,56.35,3.92,1.82,7.49,2.92,3.35,WR,PETDB-2560-KG 31
1012,51.9008,-177.05,55.5,3.29,1.38,9.07,4.19,5.1,WR,PETDB-2560-KG 21
1013,51.9008,-177.05,56.15,3.24,1.42,8.23,1.64,3.63,WR,PETDB-2560-KG 24
3421,51.9008,-177.05,52.2,2.39,0.76,9.87,9.93,8.75,WR,PETDB-2560-KG 18-1
3422,51.9008,-177.05,52.8,3.07,1.28,8.13,9.35,3.2,WR,PETDB-2560-KG 18-4
3423,51.9008,-177.05,53.93,3.52,1.52,7.96,1.75,4.56,WR,PETDB-2560-KG 22
3424,51.9008,-177.05,58.1,3.5,1.8,7.35,3.02,3.28,WR,PETDB-2560-KG 23
3425,51.9008,-177.05,55.6,3.14,1.29,10.0,5.36,4.46,WR,PETDB-2560-KG 25
1018,51.9792,-176.743,60.94,3.24,1.67,6.23,2.36,2.4,WR,PETDB-2567-AD-092
1019,51.9792,-176.743,59.45,3.62,1.82,7.0,0.48,2.59,WR,PETDB-2567-AD-093
3429,51.9792,-176.743,60.46,3.52,1.84,7.0,1.66,2.68,WR,PETDB-2567-AD-090
1020,52.2606,-176.633,58.88,3.06,1.22,8.5,2.24,5.2,WR,PETDB-2567-AD-099
1021,52.1792,-176.743,57.9,3.13,1.41,8.18,3.79,6.73,WR,PETDB-2567-AD-116
1022,52.1792,-176.743,49.55,,,,10.2,24.8,WR,PETDB-2567-AD-116N
1023,52.3309,-174.139,55.7,4.12,1.82,7.41,3.81,1.87,WR,PETDB-2567-AT-021
1024,52.3309,-174.139,50.2,3.11,0.83,10.2,8.39,3.27,WR,PETDB-2567-AT-064
1025,52.3309,-174.139,51.0,3.49,0.76,9.92,10.5,3.17,WR,PETDB-2567-AT-073
1026,52.3309,-174.139,50.98,3.16,0.79,10.34,8.22,3.45,WR,PETDB-2567-AT-074
3433,52.3309,-174.139,61.37,4.5,2.97,4.1,2.39,1.7,WR,PETDB-2567-AT-022
3434,52.3309,-174.139,58.34,3.74,2.0,7.1,3.25,3.24,WR,PETDB-2567-AT-034
3435,52.3309,-174.139,50.6,3.56,0.76,9.88,9.09,3.08,WR,PETDB-2567-AT-076
3436,52.3309,-174.139,53.1,3.89,1.12,8.71,9.45,3.81,WR,PETDB-2567-AT-090
1030,52.4919,158.148,53.14,3.29,0.55,8.37,,3.43,WR,PETDB-2677-M1-04-08
1031,52.4918,158.148,51.06,2.92,0.52,9.8,,5.71,WR,PETDB-2677-CM-105
1032,52.4918,158.148,51.67,3.42,0.41,10.03,,3.18,WR,PETDB-2677-M1-05-08
3440,52.4918,158.148,52.42,3.35,0.55,8.91,,3.46,WR,PETDB-2677-CM-19
3441,52.4918,158.148,52.59,2.88,0.6,8.73,,3.24,WR,PETDB-2677-CM-33
1033,52.5002,158.156,50.92,3.12,0.36,9.54,,4.89,WR,PETDB-2677-CM-48
1034,52.5002,158.156,51.23,3.21,0.42,9.22,,4.76,WR,PETDB-2677-M1-09-08
3442,52.5002,158.156,58.08,3.7,1.12,6.03,,2.39,WR,PETDB-2677-CM-33A
3443,52.5002,158.156,50.94,2.76,0.74,10.24,,3.73,WR,PETDB-2677-CM-92A
3444,52.5002,158.156,51.44,2.45,0.55,8.78,,7.29,WR,PETDB-2677-CM-97A
1035,52.4985,158.162,55.13,3.61,0.78,8.37,,4.76,WR,PETDB-2677-CM-4A
1036,52.4985,158.162,53.95,3.17,0.74,8.61,,4.0,WR,PETDB-2677-CM-5
1037,52.4985,158.162,54.08,3.5,0.45,8.22,,3.5,WR,PETDB-2677-M1-06-08
3445,52.4985,158.162,60.73,4.42,1.04,5.59,,2.23,WR,PETDB-2677-CM-24
1038,52.4691,158.162,68.51,4.62,2.13,3.36,,1.07,WR,PETDB-2677-CM-113
1039,52.4691,158.162,54.51,3.56,0.73,8.3,,3.88,WR,PETDB-2677-CM-142
1040,52.4691,158.162,49.55,2.13,0.49,11.01,,6.51,WR,PETDB-2677-CM-156
3446,52.4691,158.162,60.98,4.72,1.54,4.83,,2.0,WR,PETDB-2677-CM-147
3447,52.4691,158.162,63.9,5.13,1.5,4.34,,1.41,WR,PETDB-2677-CM-154
3448,52.4691,158.162,58.37,3.95,1.32,6.05,,2.7,WR,PETDB-2677-CM-155
3449,52.4691,158.162,52.52,3.02,0.55,8.97,,4.66,WR,PETDB-2677-CM-169A
3450,52.4691,158.162,54.58,3.39,0.8,8.04,,4.01,WR,PETDB-2677-CM-186
3451,52.4691,158.162,52.29,2.87,0.68,9.5,,4.6,WR,PETDB-2677-CM-187
3452,52.4691,158.162,61.04,3.94,1.29,5.78,,2.3,WR,PETDB-2677-M1-02-08
1041,52.4802,158.126,51.34,3.08,0.37,9.3,,4.7,WR,PETDB-2677-M3-05-08
1042,52.4601,158.162,49.39,2.28,0.4,10.74,,8.5,WR,PETDB-2677-CM-211
1043,52.4601,158.162,50.43,2.65,0.46,11.04,,5.81,WR,PETDB-2677-CM-29
3456,52.4601,158.162,53.64,2.94,0.8,8.87,,4.93,WR,PETDB-2677-CM-193
3457,52.4601,158.162,52.25,2.06,0.62,10.64,,4.51,WR,PETDB-2677-CM-201B
3458,52.4601,158.162,50.22,2.07,0.28,10.96,,8.24,WR,PETDB-2677-CM-210
3459,52.4601,158.162,49.49,2.19,0.28,12.58,,4.46,WR,PETDB-2677-M3-08-08
1044,52.4711,158.174,53.65,2.53,0.67,9.33,,5.47,WR,PETDB-2677-CM-9A
1045,52.4711,158.174,56.95,2.82,1.38,7.84,,4.27,WR,PETDB-2677-KR1-2
1046,52.4634,158.168,59.29,3.68,1.63,7.29,,2.18,WR,PETDB-2677-M3-09-08
1047,52.4759,158.102,64.09,4.93,2.71,3.35,,1.55,WR,PETDB-2677-M3-01-08
1048,52.4607,158.162,49.6,2.54,0.29,10.9,,6.27,WR,PETDB-2677-CM-196
1049,52.4607,158.162,54.94,2.65,0.85,8.96,,5.26,WR,PETDB-2677-KR-1
1050,52.4607,158.162,53.19,2.82,0.55,8.85,,3.93,WR,PETDB-2677-M4-01-08
3460,52.4607,158.162,50.14,2.27,0.49,10.84,,7.22,WR,PETDB-2677-CM-198
3461,52.4607,158.162,51.97,2.54,0.61,10.4,,5.39,WR,PETDB-2677-CM-206
3462,52.4607,158.162,50.19,2.45,0.42,10.73,,5.08,WR,PETDB-2677-CM-61A
3463,52.4607,158.162,54.24,3.1,1.2,8.99,,5.02,WR,PETDB-2677-CM-62
3464,52.4607,158.162,50.3,2.51,0.55,10.41,,6.25,WR,PETDB-2677-CM-63A
3465,52.4607,158.162,48.97,2.71,0.55,10.73,,5.4,WR,PETDB-2677-CM-67
3466,52.4607,158.162,50.95,2.25,0.55,11.17,,5.15,WR,PETDB-2677-CM-68
1051,-1.46,29.48,43.49,4.46,8.76,7.9,,3.53,WR,PETDB-2696-11641
1065,-0.78,-91.03,49.55,3.63,0.75,8.95,,4.39,WR,PETDB-2743-SN91-10
1066,-0.78,-91.03,48.47,3.35,0.65,9.91,,5.26,WR,PETDB-2743-SN91-22
1067,-0.78,-91.03,49.38,3.32,0.65,10.1,,5.55,WR,PETDB-2743-SN91-30
1068,-0.78,-91.03,48.23,3.32,0.58,10.42,,5.84,WR,PETDB-2743-SN91-41
1069,-0.78,-91.03,49.1,2.86,0.43,11.83,,6.89,WR,PETDB-2743-SN91-51
1070,-0.78,-91.03,48.4,3.36,0.65,9.33,,4.98,WR,PETDB-2743-SN91-53
1071,-0.78,-91.03,48.42,3.06,0.55,10.29,,5.67,WR,PETDB-2743-SN92-02
1072,-0.78,-91.03,48.85,3.29,0.66,9.66,,5.24,WR,PETDB-2743-SN92-08
1073,-0.78,-91.03,48.06,3.17,0.6,9.91,,5.35,WR,PETDB-2743-SN92-16
1074,-0.78,-91.03,48.09,3.14,0.62,10.47,,5.71,WR,PETDB-2743-SN92-20A
1091,-0.78,-91.03,49.24,3.1,0.57,10.3,10.7,5.58,WR,PETDB-2748-SN-001
1107,-0.78,-91.03,47.48,3.1,0.6,9.79,,5.28,WR,PETDB-2788-SN0510
3479,-0.78,-91.03,49.54,3.74,0.84,8.89,,4.58,WR,PETDB-2743-SN91-01
3480,-0.78,-91.03,49.46,3.55,0.7,9.36,,4.91,WR,PETDB-2743-SN91-07
3481,-0.78,-91.03,48.56,3.48,0.72,9.25,,4.84,WR,PETDB-2743-SN91-12
3482,-0.78,-91.03,48.75,3.18,0.64,10.29,,5.49,WR,PETDB-2743-SN91-15
3483,-0.78,-91.03,48.21,3.21,0.56,10.54,,5.39,WR,PETDB-2743-SN91-26
3484,-0.78,-91.03,48.31,3.35,0.64,10.03,,5.38,WR,PETDB-2743-SN91-29
3485,-0.78,-91.03,48.6,3.12,0.43,10.59,,5.86,WR,PETDB-2743-SN91-35
3486,-0.78,-91.03,48.52,3.32,0.66,9.52,,5.08,WR,PETDB-2743-SN91-36
3487,-0.78,-91.03,49.25,3.04,0.48,11.08,,6.36,WR,PETDB-2743-SN91-37
3488,-0.78,-91.03,49.29,2.94,0.44,11.07,,6.43,WR,PETDB-2743-SN92-01
3489,-0.78,-91.03,48.2,3.18,0.59,10.09,,5.43,WR,PETDB-2743-SN92-05
3490,-0.78,-91.03,48.3,3.41,0.58,10.11,,5.41,WR,PETDB-2743-SN92-06
3491,-0.78,-91.03,48.66,3.32,0.63,9.84,,5.27,WR,PETDB-2743-SN92-07B
3492,-0.78,-91.03,48.62,3.2,0.54,10.32,,5.72,WR,PETDB-2743-SN92-10
3493,-0.78,-91.03,49.18,3.13,0.57,10.46,,5.7,WR,PETDB-2743-SN92-12
1075,-0.9383,-90.9383,48.15,3.17,0.51,10.61,,5.69,WR,PETDB-2743-SN91-60
1308,-0.9383,-90.9383,51.25,3.57,1.01,8.53,,4.41,GL,PETDB-2804-SN-05-02
1309,-0.9383,-90.9383,49.06,3.46,0.67,9.77,,5.2,GL,PETDB-2804-SN-05-04
1310,-0.9383,-90.9383,48.48,3.24,0.66,10.1,,5.31,GL,PETDB-2804-SN-05-07
1311,-0.9383,-90.9383,51.03,3.8,0.95,8.71,,4.44,GL,PETDB-2804-SN05-A
1312,-0.9383,-90.9383,48.43,3.34,0.65,10.2,,5.36,GL,PETDB-2804-SN91-21
3735,-0.9383,-90.9383,48.78,3.34,0.69,10.03,,5.2,GL,PETDB-2804-SN-05 HALL
3736,-0.9383,-90.9383,48.3,3.26,0.65,10.27,,5.36,GL,PETDB-2804-SN-05-01
3737,-0.9383,-90.9383,47.92,3.18,0.76,9.68,,4.8,GL,PETDB-2804-SN-05-05
3738,-0.9383,-90.9383,48.1,3.19,0.63,10.28,,5.36,GL,PETDB-2804-SN-05-06
3739,-0.9383,-90.9383,48.16,3,0.72,9.87,,5.2,GL,PETDB-2804-SN-05-08
3740,-0.9383,-90.9383,48.41,3.32,0.63,10.1,,5.41,GL,PETDB-2804-SN-05-11
1076,-0.81,-90.07,47.03,3.85,0.85,9.75,7.23,6.93,WR,PETDB-2747-SF-01
1077,-0.81,-90.07,48.26,3.49,0.62,9.2,5.37,7.02,WR,PETDB-2747-SF-08
1078,-0.81,-90.07,46.72,3.03,0.55,10.23,7.69,9.69,WR,PETDB-2747-SF-13
1079,-0.81,-90.07,49.25,3.86,0.84,9.34,7.46,5.87,WR,PETDB-2747-SF-14
3500,-0.81,-90.07,50.79,3.64,0.72,8.61,5.11,6.75,WR,PETDB-2747-SF-07
3501,-0.81,-90.07,48.76,3.74,0.59,9.99,2.68,4.92,WR,PETDB-2747-SF-11
3502,-0.81,-90.07,47.38,3.62,0.61,9.65,4.41,7.18,WR,PETDB-2747-SF-12
3503,-0.81,-90.07,49.2,3.58,0.59,10.17,3.99,5.91,WR,PETDB-2747-SF-15
1080,-0.87,-91.35,47.88,2.81,0.51,12.48,7.24,6.37,WR,PETDB-2748-CA89-002
1104,-0.87,-91.35,47.79,2.69,0.51,12.15,,7.64,WR,PETDB-2788-CA9804
1081,-0.34,-91.47,48.37,2.77,0.42,11.6,8.59,6.72,WR,PETDB-2748-E-041
1105,-0.34,-91.47,47.75,2.91,0.5,11.04,,5.79,WR,PETDB-2788-FE0105
1106,-0.34,-91.47,47.82,2.8,0.47,10.98,,6.41,WR,PETDB-2788-FE0602
3527,-0.34,-91.47,48.23,2.73,0.45,11.39,,5.87,WR,PETDB-2788-FE0101
3528,-0.34,-91.47,48.02,2.93,0.52,11.01,,5.95,WR,PETDB-2788-FE0103
3529,-0.34,-91.47,48.1,2.89,0.51,10.69,,6.12,WR,PETDB-2788-FE0104
1082,-0.41,-91.03,47.84,2.63,0.29,11.56,6.14,6.21,WR,PETDB-2748-E-134
1092,-0.41,-91.03,49.46,1.8,0.13,14.5,5.73,9.38,WR,PETDB-2763-064
1094,-0.41,-91.03,47.84,2.63,0.38,11.56,6.14,6.21,WR,PETDB-2763-134
1095,-0.41,-91.03,48.45,2.79,0.5,10.71,8.6,6.05,WR,PETDB-2763-063
1332,-0.41,-91.03,48.88,2.97,0.69,9.63,,5.58,WR,PETDB-2813-DG23
1333,-0.41,-91.03,48.61,2.71,0.41,11.27,,6.79,WR,PETDB-2813-DG30
1334,-0.41,-91.03,50.88,3.69,1.13,7.59,,3.86,WR,PETDB-2813-DG38
1335,-0.41,-91.03,69.22,5.26,3.19,1.85,,0.35,WR,PETDB-2813-H29
1336,-0.41,-91.03,70.6,5.26,3.1,1.24,,0.3,WR,PETDB-2813-H34
1337,-0.41,-91.03,48.68,2.9,0.45,10.8,,5.99,WR,PETDB-2813-H60
1338,-0.41,-91.03,49.21,3.27,0.59,9.73,,5.08,WR,PETDB-2813-H65
1339,-0.41,-91.03,68.3,5.05,3.01,1.48,,0.23,WR,PETDB-2813-MJ251
1340,-0.41,-91.03,70.83,4.91,2.79,1.62,,0.21,WR,PETDB-2813-SR10
3517,-0.41,-91.03,66.87,5.32,3.08,1.1,2.63,0.6,WR,PETDB-2763-130
3518,-0.41,-91.03,48.35,2.7,0.46,10.59,10.39,6.27,WR,PETDB-2763-132
3767,-0.41,-91.03,53.2,3.87,1.12,7.88,,3.96,WR,PETDB-2813-DG18
3768,-0.41,-91.03,51.7,3.63,0.9,7.77,,4.07,WR,PETDB-2813-DG36
3769,-0.41,-91.03,53.78,3.81,1.11,6.76,,3.29,WR,PETDB-2813-DG39
3770,-0.41,-91.03,48.29,2.75,0.53,10.78,,6.59,WR,PETDB-2813-DG43A
3771,-0.41,-91.03,71.45,5.27,3.4,1.27,,0.19,WR,PETDB-2813-DG48
3772,-0.41,-91.03,70.92,4.83,2.69,1.73,,0.14,WR,PETDB-2813-DG5
3773,-0.41,-91.03,65.97,5.29,2.92,1.25,,0.42,WR,PETDB-2813-DG7
3774,-0.41,-91.03,68.56,4.63,3.03,1.36,,0.26,WR,PETDB-2813-DG8
3775,-0.41,-91.03,57.4,4.75,1.43,5.57,,2.01,WR,PETDB-2813-H22
3776,-0.41,-91.03,49.83,3.17,0.74,8.47,,4.51,WR,PETDB-2813-H35
3777,-0.41,-91.03,50.3,3.25,0.72,9.06,,4.75,WR,PETDB-2813-H36
3778,-0.41,-91.03,71.67,5.16,3.01,1.52,,0.32,WR,PETDB-2813-SR1
1083,0.3325,-89.96,48.65,2.64,0.11,12.01,7.57,8.09,WR,PETDB-2748-E-169
1084,-0.17,-91.28,49.47,2.97,0.53,11.27,8.7,6.24,WR,PETDB-2748-E-242
3506,-0.17,-91.28,48.1,2.87,0.42,11.48,7.2,6.32,WR,PETDB-2748-E-152
1086,-0.63,-90.38,47.14,2.94,0.35,10.42,7.7,8.62,WR,PETDB-2748-G86-001
1089,-0.63,-90.38,48.56,3.2,0.35,10.69,11.04,6.98,WR,PETDB-2748-SC-196
1331,-0.63,-90.38,,,0.317,,,,WR,PETDB-2811-G28
1358,-0.63,-90.38,44.8,2.79,0.5,8.72,,7.36,WR,PETDB-2823-F-13-72
3511,-0.63,-90.38,46.44,2.28,0.08,10.73,9.31,12.36,WR,PETDB-2748-SC-078
3764,-0.63,-90.38,,,0.425,,,,WR,PETDB-2811-G23
3765,-0.63,-90.38,,,0.567,,,,WR,PETDB-2811-G27
3791,-0.63,-90.38,47.35,2.47,0.15,10.85,,11.44,WR,PETDB-2820-GI92-04
3800,-0.63,-90.38,46.0,2.53,0.3,8.49,,8.87,WR,PETDB-2823-F-16-72
1088,0.55,-90.72,49.71,3.13,0.74,11.21,8.64,6.41,WR,PETDB-2748-P-042
1090,-0.2612,-90.7,47.26,3.24,0.31,11.26,9.38,7.58,WR,PETDB-2748-SH-007
3526,-0.2612,-90.7,48.5,2.75,0.087,12.7,,7.92,GL,PETDB-2779-STG06-29
1096,-0.413,-90.709,59.64,4.24,1.96,4.68,3.88,2.1,WR,PETDB-2763-049
1097,-0.413,-90.709,49.5,4.38,0.97,8.0,8.23,3.8,WR,PETDB-2763-051
1098,-0.413,-90.709,48.54,3.68,0.84,8.22,9.16,4.68,WR,PETDB-2763-065
1099,-0.413,-90.709,47.04,2.05,0.55,13.89,3.1,7.11,WR,PETDB-2763-067-C
1100,-0.413,-90.709,48.3,3.92,0.51,8.63,4.98,4.89,WR,PETDB-2763-067-J
1101,-0.413,-90.709,62.12,6.45,1.49,3.17,3.5,0.82,WR,PETDB-2763-067-N
1102,-0.413,-90.709,46.96,2.54,0.21,11.81,3.43,6.83,WR,PETDB-2763-067-O
3507,-0.413,-90.709,48.87,2.74,0.17,12.21,5.2,8.73,WR,PETDB-2748-E-165
3519,-0.413,-90.709,48.74,4.3,0.99,8.62,10.07,4.01,WR,PETDB-2763-044
3520,-0.413,-90.709,48.77,3.29,0.79,8.72,9.2,4.66,WR,PETDB-2763-045
3521,-0.413,-90.709,66.18,6.91,2.91,1.07,1.69,0.33,WR,PETDB-2763-048
3522,-0.413,-90.709,59.39,4.44,2.4,5.12,5.41,2.13,WR,PETDB-2763-050
3523,-0.413,-90.709,47.25,2.95,0.23,10.95,8.27,9.0,WR,PETDB-2763-067-F
3524,-0.413,-90.709,50.16,4.42,0.95,8.8,4.1,3.57,WR,PETDB-2763-067-I
3525,-0.413,-90.709,48.02,3.19,0.66,11.06,4.97,7.77,WR,PETDB-2763-067-L
3763,-0.413,-90.709,,,0.52,,,,WR,PETDB-2811-G17
1103,0.33,-90.42,50.12,3.06,0.24,11.52,,7.0,WR,PETDB-2776-CD3286
3762,0.33,-90.42,,,0.221,,,,WR,PETDB-2811-G04
1108,52.8447,-169.818,69.51,4.2,2.76,3.02,,0.91,WR,PETDB-2792-FMI 6
1109,55.4183,-163.144,57.58,4.65,1.87,7.41,,2.2,WR,PETDB-2792-AMK-1
1110,55.4183,-163.144,58.68,4.47,1.83,6.78,,2.31,WR,PETDB-2792-AMK-4
1111,55.4183,-163.144,53.95,3.76,1.63,8.91,,3.92,WR,PETDB-2792-AMK-5
3532,55.4183,-163.144,57.64,4.65,1.87,7.43,,2.15,WR,PETDB-2792-AMK-2
3533,55.4183,-163.144,57.0,4.33,1.73,7.42,,2.65,WR,PETDB-2792-AMK-3
3534,55.4183,-163.144,60.04,5.3,2.31,5.91,,1.37,WR,PETDB-2792-AMK-7
1112,51.9,-177.43,54.41,2.96,0.75,9.88,,3.36,WR,PETDB-2792-BO9-8A
3535,51.9,-177.43,61.43,3.72,1.38,6.95,,2.77,WR,PETDB-2792-BO9-6A
1113,53.9327,-168.038,48.0,2.84,1.87,11.81,,5.6,WR,PETDB-2792-BOG-3
1115,55.19,-162.75,56.95,3.42,1.24,8.35,,4.04,WR,PETDB-2792-CB-03
1116,55.19,-162.77,58.27,3.48,1.18,7.78,,3.29,WR,PETDB-2792-CB-05
1117,55.0742,-162.811,59.73,3.58,1.24,7.08,,3.06,WR,PETDB-2792-CB-07
1118,55.08,-162.77,57.96,3.66,1.26,7.74,,3.02,WR,PETDB-2792-CB-12
3538,55.08,-162.77,53.08,3.42,0.77,8.88,,3.36,WR,PETDB-2792-CB-44
1119,52.7508,-170.117,59.43,4.07,0.86,7.29,,2.12,WR,PETDB-2792-FMI 5
1120,52.9,-170.12,59.52,3.72,1.1,7.14,,3.75,WR,PETDB-2792-FMI 7
1121,52.08,-176.13,58.15,3.85,1.38,7.47,,3.19,WR,PETDB-2792-GS721B
1122,52.08,-176.13,61.4,4.12,1.54,6.27,,2.43,WR,PETDB-2792-GS723
3541,52.08,-176.13,52.8,3.18,1.16,9.69,,4.21,WR,PETDB-2792-GS725B
3542,52.08,-176.13,49.67,2.72,0.83,11.12,,5.49,WR,PETDB-2792-GS727
1124,52.3559,-174.162,53.41,3.27,1.35,9.31,,5.0,WR,PETDB-2792-KR01-11
1125,52.357,-174.214,55.46,3.56,1.69,8.29,,4.38,WR,PETDB-2792-KR01-15
1126,52.397,-174.228,56.91,3.74,1.96,7.52,,3.85,WR,PETDB-2792-KR01-17
1127,52.3873,-174.216,53.86,3.74,1.13,8.66,,3.94,WR,PETDB-2792-KR01-21
1128,52.36,-174.19,54.46,3.61,1.58,7.81,,4.34,WR,PETDB-2792-KR01-30
1129,52.36,-174.19,55.49,3.97,1.71,7.14,,3.24,WR,PETDB-2792-KR01-31
1130,52.361,-174.201,55.81,4.22,1.71,7.18,,2.78,WR,PETDB-2792-KR01-33
1131,52.36,-174.183,55.52,4.1,1.69,7.04,,3.38,WR,PETDB-2792-KR01-34
3558,52.36,-174.183,51.13,3.26,0.91,9.66,,5.07,WR,PETDB-2792-KR01-32
1132,52.36,-174.079,54.08,3.33,1.51,9.0,,4.93,WR,PETDB-2792-KR01-35
1133,52.353,-174.138,50.95,3.05,0.74,10.28,,5.54,WR,PETDB-2792-KR01-36
1134,52.39,-174.083,57.32,3.8,2.07,7.62,,4.07,WR,PETDB-2792-KR02-50
1135,52.39,-174.098,56.52,3.65,1.9,7.71,,4.12,WR,PETDB-2792-KR02-53
1136,52.4,-174.098,56.35,3.71,1.91,7.76,,4.1,WR,PETDB-2792-KR02-54
1137,52.39,-174.092,54.59,3.35,1.59,9.22,,5.49,WR,PETDB-2792-KR02-56
1138,52.376,-174.115,56.77,3.71,1.89,7.84,,4.1,WR,PETDB-2792-KR02-63
1139,52.381,-174.113,57.73,3.81,2.09,7.36,,3.89,WR,PETDB-2792-KR02-64
1140,52.363,-174.118,52.26,3.09,1.24,9.87,,4.87,WR,PETDB-2792-KR02-65
1141,52.362,-174.114,61.02,4.22,2.7,5.49,,2.59,WR,PETDB-2792-KR02-67
1142,52.396,-174.119,58.0,3.83,2.09,7.34,,3.84,WR,PETDB-2792-KR02-68
1143,52.399,-174.118,56.4,3.61,1.86,7.95,,4.2,WR,PETDB-2792-KR02-69
1144,52.394,-174.089,56.52,3.61,1.86,7.94,,4.32,WR,PETDB-2792-KR02-70
1145,52.373,-174.131,59.1,3.96,2.35,6.73,,3.47,WR,PETDB-2792-KR02-73
1146,52.3764,-174.101,59.17,3.95,2.34,6.72,,3.5,WR,PETDB-2792-KR02-74
1147,52.403,-174.196,51.58,3.41,0.71,9.98,,4.73,WR,PETDB-2792-KR02-75
1148,52.397,-174.125,57.02,3.7,1.94,7.7,,4.1,WR,PETDB-2792-KR02-76
1149,52.392,-174.123,55.63,3.51,1.73,8.43,,4.4,WR,PETDB-2792-KR02-77
1150,52.376,-174.126,57.28,3.88,2.01,7.42,,3.81,WR,PETDB-2792-KR04L201
1151,52.378,-174.155,56.54,3.74,1.87,7.77,,4.13,WR,PETDB-2792-KR04L202
1152,52.418,-174.139,56.27,3.76,1.84,7.85,,4.02,WR,PETDB-2792-KR04L205
1153,52.412,-174.204,55.88,3.7,1.78,8.05,,4.1,WR,PETDB-2792-KR04L206
1154,52.411,-174.186,51.29,3.43,0.69,10.01,,4.7,WR,PETDB-2792-KR04L209
1155,52.417,-174.196,50.61,3.28,0.67,10.38,,4.78,WR,PETDB-2792-KR04L210
1156,52.358,-174.147,51.58,3.43,1.11,9.11,,4.52,WR,PETDB-2792-KR04L212
1157,52.372,-174.082,54.34,3.67,1.51,8.39,,4.03,WR,PETDB-2792-KR04L214
1158,52.322,-174.154,60.28,4.26,2.6,5.81,,2.77,WR,PETDB-2792-KR04P211
1159,51.93,178.531,58.33,3.46,1.27,7.76,,3.56,WR,PETDB-2792-LSIT04L07
1160,51.939,178.539,57.57,3.38,1.1,8.22,,3.77,WR,PETDB-2792-LSIT04L32
3581,51.939,178.539,57.1,3.33,1.1,8.41,,3.89,WR,PETDB-2792-LSIT04L33
1161,51.93,-176.75,52.81,3.21,1.28,9.72,,4.22,WR,PETDB-2792-MOF-81-17
1162,51.93,-176.75,52.44,3.32,1.38,9.7,,3.93,WR,PETDB-2792-MOF81-18
1163,51.93,-176.75,57.33,3.12,1.52,8.43,,7.22,WR,PETDB-2792-MOF81-38
1164,51.93,-176.75,57.77,3.5,1.47,8.26,,3.46,WR,PETDB-2792-MOF81-44
1165,51.93,-176.75,62.62,3.84,1.82,6.09,,2.06,WR,PETDB-2792-MOF81-56A
3583,51.93,-176.75,57.89,3.57,1.49,8.12,,3.2,WR,PETDB-2792-MOF80-GL5
3584,51.93,-176.75,49.83,2.91,1.25,10.88,,5.0,WR,PETDB-2792-MOF81-15
3585,51.93,-176.75,56.49,3.37,1.65,8.76,,4.23,WR,PETDB-2792-MOF81-54
1166,51.93,-177.43,50.78,2.97,1.34,10.81,,5.45,WR,PETDB-2792-MOF81-7
1167,54.5164,-164.65,62.04,5.73,1.99,4.17,,1.74,WR,PETDB-2792-SAR4
1168,53.42,-168.13,52.06,2,0.69,12.28,,8.36,WR,PETDB-2792-UM10
1169,53.42,-168.13,53.64,3.42,1.23,8.43,,4.13,WR,PETDB-2792-UM16
3230,53.42,-168.13,52.24,2.91,0.66,10.8,,4.97,WR,PETDB-2540-UM21
3241,53.42,-168.13,48.07,1.86,0.48,10.76,,12.68,WR,PETDB-2540-46A BY 531
3587,53.42,-168.13,52.26,2.81,1.1,9.78,,5.04,WR,PETDB-2792-UM04
3588,53.42,-168.13,53.65,3.23,1.0,9.43,,4.71,WR,PETDB-2792-UM05
3590,53.42,-168.13,60.21,4.27,1.93,5.68,,2.26,WR,PETDB-2792-UM22
1170,-0.9233,-91.4078,49.7,3.46,0.68,11.03,,7.01,WR,PETDB-2800-CA-04
1171,-0.9233,-91.4078,50.13,2.68,0.4,12.62,,7.63,WR,PETDB-2800-CA-06
1172,-0.9233,-91.4078,49.52,3.67,0.77,10.4,,5.76,WR,PETDB-2800-CA-15
1173,-0.9233,-91.4078,48.8,2.37,0.35,13.05,,9.42,WR,PETDB-2800-CA-31
1174,-0.9233,-91.4078,48.34,2.38,0.33,10.82,,12.98,WR,PETDB-2800-CA-37
1175,-0.9233,-91.4078,51.26,2.42,0.2,9.75,,11.68,WR,PETDB-2800-CA-39
1176,-0.9233,-91.4078,48.43,3.27,0.59,11.1,,8.65,WR,PETDB-2800-CA-43
1177,-0.9233,-91.4078,49.56,3.01,0.53,12.09,,7.17,WR,PETDB-2800-CA-44
1178,-0.9233,-91.4078,49.44,2.92,0.52,12.36,,7.24,WR,PETDB-2800-CA-45
1179,-0.9233,-91.4078,47.58,1.8,0.28,9.9,,17.25,WR,PETDB-2800-CA-48
