,LATITUDE,LONGITUDE,SIO2,NA2O,K2O,CAO,FEO,MGO,MATERIAL,SAMPLE ID
10137,-3.4,36.42,40.48,0.1,,0.09,,48.76,WR,PETDB-2339-89-662
10138,-3.4,36.42,41.11,0.11,,0.35,,46.34,WR,PETDB-2339-89-663
10139,-3.4,36.42,40.81,0.24,,1.75,,43.7,WR,PETDB-2339-89-669
10140,-3.4,36.42,41.5,0.14,,0.94,,48.93,WR,PETDB-2339-89-672
10141,-3.4,36.42,45.89,0.25,,7.66,,33.74,WR,PETDB-2339-89-676
1538,-3.3667,36.4333,42.4,0.12,,0.94,,48.1,WR,PETDB-2353-89-661
1539,-3.3667,36.4333,40.8,0.2,,1.75,,43.7,WR,PETDB-2353-89-669
1540,-3.3667,36.4333,44.3,0.05,,0.81,,45.9,WR,PETDB-2353-89-680
1541,-3.3667,36.4333,43.4,0.13,,0.55,,47.7,WR,PETDB-2353-89-719
1548,33.4016,126.546,43.8,0.73,0.01,3.1,,40.4,WR,PETDB2357-SS31
1695,38.035,127.113,48.0,3.7,2.0,8.0,,8.8,WR,PETDB-2475-BJK3
1696,38.0517,127.111,47.5,3.6,2.1,8.0,,8.8,WR,PETDB-2475-BJK7-1
1697,38.0517,127.111,48.6,3.3,1.7,8.2,,9.0,WR,PETDB-2475-BJK7-3
10299,38.0517,127.111,48.1,3.7,2.1,7.9,,8.7,WR,PETDB-2475-BJK7-2
1698,38.0203,127.228,47.9,3.3,2.0,8.0,,8.9,WR,PETDB-2475-BJK8-2
10300,38.0203,127.228,47.9,3.3,1.9,8.0,,9.2,WR,PETDB-2475-BJK8-1
1723,37.84,-25.83,45.17,2.017,1.41,10.99,,14.26,WR,PETDB-2505-SM0102
10325,37.84,-25.83,46.21,1.859,1.126,11.35,,10.65,WR,PETDB-2505-SM0155
10326,37.84,-25.83,45.81,2.311,1.301,12.42,,9.3,WR,PETDB-2505-SM0156
1725,37.76,-25.67,44.31,2.248,1.154,12.78,,12.41,WR,PETDB-2505-SM0140
1726,37.76,-25.67,44.85,1.912,1.203,12.14,,10.29,WR,PETDB-2505-SM0204
1727,37.76,-25.67,44.58,2.611,1.38,11.82,,8.59,WR,PETDB-2505-SM9707
1728,38.8472,-3.8333,43.77,0.37,0.18,2.23,,40.54,WR,PETDB-2515-111658
1729,38.8472,-3.8333,41.72,0.93,0.27,5.8,,34.43,WR,PETDB-2515-111659
1730,38.8472,-3.8333,43.87,0.19,0.01,2.98,,40.38,WR,PETDB-2515-111660
1731,38.8472,-3.8333,44.41,0.46,0.07,2.34,,38.99,WR,PETDB-2515-111663
1735,38.8472,-3.8333,44.72,0.35,0.13,1.29,,43.46,WR,PETDB-2516-55570
1736,38.8472,-3.8333,43.76,0.28,0.04,3.75,,40.16,WR,PETDB-2516-72688
1737,38.8472,-3.8333,44.36,0.29,0.05,2.96,,40.01,WR,PETDB-2516-72689
10329,38.8472,-3.8333,42.76,0.77,0.27,4.37,,39.01,WR,PETDB-2515-111657
10332,38.8472,-3.8333,43.62,0.23,,2.51,,41.35,WR,PETDB-2516-55569
10333,38.8472,-3.8333,44.04,0.32,,2.49,,40.05,WR,PETDB-2516-72690
10334,38.8472,-3.8333,44.2,0.49,0.05,2.03,,42.16,WR,PETDB-2516-72691
1782,58.25,-154.98,61.83,3.71,1.56,5.97,,2.6,WR,PETDB-2543-K90AND
10385,58.25,-154.98,75.49,3.36,3.09,0.77,,0.08,WR,PETDB-2543-K90RHY
1797,17.63,-63.23,60.6,,,,,,WR,PETDB-2545-SB7I
1798,17.63,-63.23,54.67,,,,,,WR,PETDB-2545-SB9I
3969,17.63,-63.23,55.5,,,,,,WR,PETDB-613-SAB101
3970,17.63,-63.23,57.5,,,,,,WR,PETDB-613-SAB102
10394,17.63,-63.23,53.7,,,,,,WR,PETDB-2545-SB53
10395,17.63,-63.23,55.8,,,,,,WR,PETDB-2545-SB67
1873,53.67,-166.67,57.3,3.2,0.92,8.1,5.8,3.6,WR,PETDB-2572-53-B-13
1874,53.67,-166.67,56.2,4.2,1.2,7.0,4.8,2.8,WR,PETDB-2572-54-B-11
1875,53.67,-166.67,46.21,2.69,0.78,10.88,6.53,4.29,WR,PETDB-2572-54-B-12
1876,53.67,-166.67,60.2,3.7,2.1,6.3,3.6,3.0,WR,PETDB-2572-54-D-44
1877,53.67,-166.67,49.6,2.5,0.72,11.6,6.2,7.8,WR,PETDB-2572-54-D-65
1878,53.67,-166.67,49.5,2.4,0.76,11.2,3.6,6.4,WR,PETDB-2572-54-D-67
1879,53.67,-166.67,51.3,2.61,0.73,10.15,6.06,5.75,WR,PETDB-2572-54-D-81
1880,53.67,-166.67,56.1,3.6,1.8,7.5,4.0,3.2,WR,PETDB-2572-54-F-32
1881,53.67,-166.67,51.13,2.96,1.01,9.46,6.02,5.94,WR,PETDB-2572-54-F-51
1882,53.67,-166.67,74.9,3.4,5.7,0.56,0.64,0.38,WR,PETDB-2572-54-SN-270
1883,53.67,-166.67,59.4,3.8,1.9,5.7,3.4,3.2,WR,PETDB-2572-54-SN-297
10490,53.67,-166.67,52.9,2.96,1.43,9.14,3.64,3.64,WR,PETDB-2572-53-B-38
10491,53.67,-166.67,63.4,7.4,1.9,1.8,2.4,1.2,WR,PETDB-2572-53-F-39
10492,53.67,-166.67,47.7,3.4,0.72,10.9,6.9,4.9,WR,PETDB-2572-54-D-27
10493,53.67,-166.67,50.8,2.1,0.89,10.9,4.9,9.8,WR,PETDB-2572-54-D-33
10494,53.67,-166.67,50.33,2.67,0.86,10.44,6.35,7.24,WR,PETDB-2572-54-D-62
10495,53.67,-166.67,63.0,4.9,2.1,4.7,5.4,1.9,WR,PETDB-2572-54-D-84
10496,53.67,-166.67,55.5,3.5,1.2,8.1,5.9,4.0,WR,PETDB-2572-54-D-94
10497,53.67,-166.67,53.53,3.33,0.91,9.26,5.03,3.92,WR,PETDB-2572-54-F-53
10498,53.67,-166.67,56.6,3.7,1.4,7.6,5.6,3.7,WR,PETDB-2572-54-F-55
10499,53.67,-166.67,53.8,3.8,0.98,8.5,5.3,3.8,WR,PETDB-2572-54-F-57
10500,53.67,-166.67,54.6,3.6,1.1,7.8,4.8,4.5,WR,PETDB-2572-54-SN-264
10501,53.67,-166.67,55.5,4.6,1.6,7.1,4.0,4.3,WR,PETDB-2572-54-SN-284A
10502,53.67,-166.67,66.4,4.7,5.4,2.1,1.6,1.1,WR,PETDB-2572-54-SN-284B
