,Volcano Name,material,PetDB Major Rock 1,PetDB Major Rock 2,PetDB Major Rock 3,PetDB Major Rock 4,PetDB Major Rock 5,cnt 1,cnt 2,cnt 3,cnt 4,cnt 5
36,Chirpoi,WR,ANDESITE,No Data,No Data,No Data,No Data,1,0,0,0,0
37,Chirpoi,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
38,Chirpoi,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
39,Havre Seamount,WR,BASALT,No Data,No Data,No Data,No Data,2,0,0,0,0
40,Havre Seamount,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
41,Havre Seamount,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
42,South Sarigan Seamount,WR,FOIDITE,BASALT,No Data,No Data,No Data,2,2,0,0,0
43,South Sarigan Seamount,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
44,South Sarigan Seamount,INC,ANDESITE,No Data,No Data,No Data,No Data,1,0,0,0,0
45,Miyakejima,WR,BASALTIC ANDESITE,BASALT,PICROBASALT,No Data,No Data,2,1,1,0,0
46,Miyakejima,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
47,Miyakejima,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
48,Anatahan,WR,ANDESITE,BASALT,No Data,No Data,No Data,1,1,0,0,0
49,Anatahan,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
50,Anatahan,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
51,Gamkonora,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
52,Gamkonora,GL,RHYOLITE,DACITE,No Data,No Data,No Data,5,1,0,0,0
53,Gamkonora,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
54,Raoul Island,WR,BASALT,No Data,No Data,No Data,No Data,2,0,0,0,0
55,Raoul Island,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
56,Raoul Island,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
57,Soufriere Hills,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
58,Soufriere Hills,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
59,Soufriere Hills,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
60,Vailulu'u,WR,PICROBASALT,No Data,No Data,No Data,No Data,2,0,0,0,0
61,Vailulu'u,GL,TEPHRITE/BASANITE,No Data,No Data,No Data,No Data,3,0,0,0,0
62,Vailulu'u,INC,FOIDITE,No Data,No Data,No Data,No Data,1,0,0,0,0
63,Izu-Torishima,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
64,Izu-Torishima,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
65,Izu-Torishima,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
66,Ruby,WR,RHYOLITE,BASALTIC ANDESITE,ANDESITE,No Data,No Data,6,1,1,0,0
67,Ruby,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
68,Ruby,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
69,Izu-Oshima,WR,BASALT,No Data,No Data,No Data,No Data,22,0,0,0,0
70,Izu-Oshima,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
71,Izu-Oshima,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
72,Curacoa,WR,BASALT,No Data,No Data,No Data,No Data,7,0,0,0,0
73,Curacoa,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
74,Curacoa,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
75,Ketoi,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
76,Ketoi,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
77,Ketoi,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
78,Zavaritzki Caldera,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
79,Zavaritzki Caldera,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
80,Zavaritzki Caldera,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
81,Fonualei,WR,BASALTIC ANDESITE,ANDESITE,No Data,No Data,No Data,2,2,0,0,0
