,Volcano Name,material,PetDB Major Rock 1,PetDB Major Rock 2,PetDB Major Rock 3,PetDB Major Rock 4,PetDB Major Rock 5,cnt 1,cnt 2,cnt 3,cnt 4,cnt 5
30,Halla,WR,TEPHRITE/BASANITE,BASALT,TRACHYBASALT,No Data,No Data,26,13,8,0,0
31,Halla,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
32,Halla,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
33,Longgang Group,WR,TRACHYANDESITE,BASALTIC TRACHYANDESITE,ANDESITE,No Data,No Data,6,3,2,0,0
34,Longgang Group,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
35,Longgang Group,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
36,Jingpohu,WR,PHONO-TEPHRITE,BASALTIC TRACHYANDESITE,TEPHRI-PHONOLITE,No Data,No Data,9,7,3,0,0
37,Jingpohu,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
38,Jingpohu,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
39,Flores-Azores,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
40,Flores-Azores,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
41,Flores-Azores,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
42,Ghegham Volcanic Ridge,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
43,Ghegham Volcanic Ridge,GL,RHYOLITE,No Data,No Data,No Data,No Data,1,0,0,0,0
44,Ghegham Volcanic Ridge,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
45,Newer Volcanics Province,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
46,Newer Volcanics Province,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
47,Newer Volcanics Province,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
48,Taryatu-Chulutu,WR,PICROBASALT,BASALT,No Data,No Data,No Data,16,15,0,0,0
49,Taryatu-Chulutu,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
50,Taryatu-Chulutu,INC,BASALT,No Data,No Data,No Data,No Data,1,0,0,0,0
51,Calatrava Volcanic Field,WR,FOIDITE,PICROBASALT,No Data,No Data,No Data,10,4,0,0,0
52,Calatrava Volcanic Field,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
53,Calatrava Volcanic Field,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
54,Infiernillo,WR,BASALT,No Data,No Data,No Data,No Data,2,0,0,0,0
55,Infiernillo,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
56,Infiernillo,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
