,Volcano Name,material,PetDB Major Rock 1,PetDB Major Rock 2,PetDB Major Rock 3,PetDB Major Rock 4,PetDB Major Rock 5,cnt 1,cnt 2,cnt 3,cnt 4,cnt 5
181,Santa Ana,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
182,Santa Ana,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
183,Popocatepetl,WR,DACITE,ANDESITE,BASALTIC ANDESITE,No Data,No Data,14,9,5,0,0
184,Popocatepetl,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
185,Popocatepetl,INC,BASALTIC TRACHYANDESITE,TEPHRITE/BASANITE,RHYOLITE,No Data,No Data,4,1,1,0,0
186,Fuego,WR,BASALTIC ANDESITE,No Data,No Data,No Data,No Data,9,0,0,0,0
187,Fuego,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
188,Fuego,INC,BASALTIC ANDESITE,BASALTIC TRACHYANDESITE,BASALT,TRACHYANDESITE,No Data,15,10,9,9,0
189,Avachinsky,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
190,Avachinsky,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
191,Avachinsky,INC,BASALTIC ANDESITE,DACITE,No Data,No Data,No Data,6,5,0,0,0
192,Mutnovsky,WR,BASALT,BASALTIC ANDESITE,ANDESITE,No Data,No Data,25,17,6,0,0
193,Mutnovsky,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
194,Mutnovsky,INC,ANDESITE,BASALT,BASALTIC ANDESITE,TRACHYTE/TRACHYDACITE,RHYOLITE,3,1,1,1,1
195,Moyorodake [Medvezhia],WR,ANDESITE,BASALTIC ANDESITE,No Data,No Data,No Data,2,1,0,0,0
196,Moyorodake [Medvezhia],GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
197,Moyorodake [Medvezhia],INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
198,Sheveluch,WR,BASALT,BASALTIC ANDESITE,ANDESITE,No Data,No Data,24,12,6,0,0
199,Sheveluch,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
200,Sheveluch,INC,RHYOLITE,DACITE,No Data,No Data,No Data,14,3,0,0,0
201,"Negro, Cerro",WR,BASALT,PICROBASALT,No Data,No Data,No Data,6,2,0,0,0
202,"Negro, Cerro",GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
203,"Negro, Cerro",INC,BASALTIC ANDESITE,BASALT,TEPHRI-PHONOLITE,No Data,No Data,19,7,5,0,0
204,Ijen,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
205,Ijen,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
206,Ijen,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
