,MATERIAL,ROCK,x,y
146,WR,ANDESITE,33.97348813419388,2.198638859748363
147,WR,ANDESITE,34.42201143830255,2.24769194585116
148,WR,ANDESITE,36.31788307468269,1.7036274594047003
149,WR,ANDESITE,35.94421133012999,1.5189878009283047
150,WR,ANDESITE,37.260667524429635,1.1631424738519476
151,WR,ANDESITE,37.27971593181686,2.2023709104334883
152,WR,ANDESITE,32.42250687679087,2.732192015264264
153,WR,ANDESITE,35.81641357728434,1.8765739559496195
154,WR,ANDESITE,35.68219416005482,1.9550836937718046
155,WR,ANDESITE,33.08669444003307,2.692311593291834
156,WR,ANDESITE,35.21939869242752,1.5808046937855256
157,WR,ANDESITE,35.291249055513575,1.5817022423218807
158,WR,ANDESITE,37.81323457195461,1.7059193143688463
159,WR,ANDESITE,37.63656493076572,1.5579750559699195
160,WR,ANDESITE,36.83381746408684,1.9183477407566665
161,WR,ANDESITE,37.96204943425567,2.0272517120561275
162,WR,ANDESITE,35.48847492403785,0.9646590973826863
163,WR,ANDESITE,37.2249214911553,1.7451584424808453
164,WR,ANDESITE,36.89313940359966,1.8174725516720673
165,WR,ANDESITE,35.028018470086394,0.9715012826834438
166,WR,ANDESITE,35.20872099024914,1.0419064738456014
167,WR,ANDESITE,35.8042219653075,1.0954088887987434
168,WR,ANDESITE,35.96727819402825,0.930188229155903
169,WR,ANDESITE,38.54757520880462,1.9910459267010192
170,WR,ANDESITE,37.09035244073836,1.5036629367866903
171,WR,ANDESITE,35.80987270865349,1.5762465337569698
172,WR,ANDESITE,37.379248265874736,1.8201389437719566
173,WR,ANDESITE,35.94181465263254,1.3066955712034927
174,WR,ANDESITE,34.88932841027396,0.8334544278499421
175,WR,ANDESITE,34.41088613196072,0.8147317243662802
176,WR,ANDESITE,36.13710471917737,1.2550894823829624
177,WR,ANDESITE,36.829846204279995,1.3608636038745063
178,WR,ANDESITE,38.35253317616305,1.88619015620474
179,WR,ANDESITE,38.96379331565919,1.9078767880439553
180,WR,ANDESITE,36.584656202141836,1.3570209097278167
181,WR,ANDESITE,36.73858935847661,1.3878165969623903
182,WR,ANDESITE,38.271681941132684,1.7847702446189206
183,WR,ANDESITE,36.073825176852786,1.5288136526149083
184,WR,ANDESITE,36.21067212597141,1.4527085523510495
185,WR,ANDESITE,38.06381722380243,1.9952183754045159
186,WR,ANDESITE,38.48531912000381,2.3075704422054595
187,WR,ANDESITE,39.170683022034964,2.1913668823516064
188,WR,ANDESITE,36.303309343810554,1.5887494786826184
189,WR,ANDESITE,35.45369410861639,1.1551717520629439
190,WR,ANDESITE,35.91838879828764,1.323187593340217
191,WR,ANDESITE,36.89567669014829,1.6197342236282912
192,WR,ANDESITE,34.944805909835736,1.1709494752967298
193,WR,ANDESITE,37.05074790648331,1.6004809717533481
194,WR,ANDESITE,35.67139150498805,1.2151027264662886
195,WR,ANDESITE,37.6054329175644,1.5969640765319304
196,WR,ANDESITE,35.110445598894955,1.0581018581277184
197,WR,ANDESITE,37.94096886869803,1.9762523306151991
198,WR,ANDESITE,37.613240297773146,1.7829854221945225
199,WR,ANDESITE,38.000292095607875,1.7571474370391478
200,WR,ANDESITE,37.90967222354371,1.7108689185688282
201,WR,ANDESITE,36.20028146815032,1.4520275050164841
